text,label
"maldita sea",1  
"rayos",1  
"carajo",1  
"joder",1  
"mierda",1  
"demonios",1  
"diablos",1  
"qué fastidio",1  
"maldita sea la vida",1  
"estoy harto",1  
"asco",1  
"estupidez",1  
"pésimo",1  
"insoportable",1  
"porquería",1  
"chingados",1  
"desgracia",1  
"infierno",1  
"maldita suerte",1  
"estoy hasta el cuello",1  
"me lleva la fregada",1  
"qué mierda",1  
"putada",1  
"coño",1  
"qué cagada",1  
"malnacido",1  
"qué asco",1  
"qué demonios",1  
"qué basura",1  
"qué asqueroso",1  
"me revienta",1  
"me enferma",1  
"me desespera",1  
"hijueputa",1  
"pendejo",1  
"cabronazo",1  
"zorra",1  
"gilipollas",1  
"pelotudo",1  
"boludo",1  
"conchetumadre",1  
"reverendo imbécil",1  
"tarado",1  
"baboso",1  
"imbécil",1  
"estúpido",1  
"cabrón",1  
"guevón",1  
"malparido",1  
"cagón",1  
"pinche",1  
"chingón",1  
"huevón",1  
"mierdoso",1  
"desgraciado",1  
"perra",1  
"cornudo",1  
"gonorrea",1  
"marica",1  
"carechimba",1  
"hueputa",1  
"verga",1  
"cojudo",1  
"estúpido de mierda",1  
"puta madre",1  
"soplapollas",1  
"chingada madre",1  
"culiao",1  
"chinga tu madre",1  
"cabroncete",1  
"picha",1  
"pichacorta",1  
"gil",1  
"forro",1  
"cabeza de termo",1  
"chupapija",1  
"cagapalos",1  
"malnacido de mierda",1  
"jodido",1  
"maldito",1  
"coño de tu madre",1  
"vete a la mierda",1  
"come mierda",1  
"gilipipas",1  
"chupamedias",1  
"payaso de mierda",1  
"la concha de tu madre",1  
"bastardo",1  
"papanatas",1  
"parguela",1  
"mierda seca",1  
"tontolaba",1  
"tonto del culo",1  
"bobo de mierda",1  
"cabeza de chorlito",1  
"pendejete",1  
"retrasado de mierda",1  
"lameculos",1  
"idiota",1  
"tarúpido",1  
"chupacabras",1  
"puto",1  
"petardo",1  
"asno",1  
"caremonda",1  
"mamerto",1  
"tontaco",1  
"anormal",1  
"muerto de hambre",1  
"chumino",1  
"mierdón",1  
"cagarruta",1  
"come mierdas",1  
