text,emotion
"Estoy cansado de esta mierda","frustración"
"Esto me tiene hasta la madre","enojo"
"Me siento como una basura","depresión"
"Todo se está yendo al carajo","desesperación"
"Ya no sé qué hacer con esta mierda","ansiedad"
"No aguanto más esta situación de mierda","impotencia"
"Me da un chingo de miedo fracasar","miedo"
"Estoy harto de todo, en serio","hastío"
"Me siento como una mierda por lo que hice","culpa"
"Estoy hasta los huevos de este trabajo","estrés"
"Me duele un chingo que me hayan dejado","tristeza"
"No sé qué carajos quiero hacer con mi vida","confusión"
"Me siento de la chingada últimamente","depresión"
"Me da coraje que siempre pase lo mismo","enojo"
"Estoy hasta la madre de esta rutina","aburrimiento"
"Me cuesta un huevo confiar en la gente","desconfianza"
"Me jode mucho cuando me ignoran","enojo"
"Siento que todo se va a la mierda","desesperación"
"Estoy hasta la chingada de fingir que estoy bien","frustración"
"Quisiera mandar todo al carajo y desaparecer","desesperación"
